Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
23240	244	850	4	4	65	-12.00	-65.85	-2.18	23	34
23283	236	850	4	4	65	-10.50	-4.13	-0.00	23	34
23240	244	850	4	4	65	-12.00	-65.85	-2.18	23	34
23283	236	850	4	4	65	-10.50	-4.13	-0.00	23	34
152	240	850	4	5	65	-11.10	-65.55	-9.15	0	0
155	227	850	4	3	65	-11.70	-66.60	-10.05	0	0
235	241	850	4	4	65	-2.75	-0.00	-0.00	0	0
325	240	850	4	4	65	-10.35	-65.55	-2.59	0	0
328	0	0	0	0	0	0.00	0.00	0.00	0	0
330	0	0	0	0	0	0.00	0.00	0.00	0	0
332	0	0	0	0	0	0.00	0.00	0.00	0	0
422	240	850	4	4	65	-2.25	-4.00	-0.00	0	0
462	202	850	4	5	65	-10.80	-66.00	-2.01	0	0
506	232	850	4	4	65	-11.70	-64.95	-2.05	0	0
550	251	850	4	4	65	-11.85	-0.00	0.00	0	0
593	252	850	4	4	65	-2.11	-4.03	0.00	0	0
637	255	850	4	4	65	-11.25	-4.00	-2.13	0	0
681	0	850	4	4	65	-10.95	-65.85	-2.55	0	0
772	239	850	4	4	65	-11.85	-66.00	-0.00	0	0
863	238	850	4	4	65	-2.25	-0.00	0.00	0	0
907	239	850	4	4	65	-0.00	-0.00	-0.00	0	0
951	12	850	4	4	65	-11.55	-65.55	-2.25	0	0
995	254	850	5	5	65	-11.10	-65.85	-2.00	0	0
1038	255	850	4	4	65	-11.10	-65.55	-2.02	0	0
1082	29	850	4	4	65	-11.10	-4.16	-2.01	0	0
1173	239	850	4	4	65	-10.65	-65.25	-2.01	0	0
1214	210	850	4	4	65	-2.00	-0.00	-0.00	0	0
1257	4	850	4	4	65	-11.70	-66.00	-10.20	0	0
1298	236	850	5	4	65	-10.80	-4.02	-0.00	0	0
1339	210	850	4	4	66	-2.81	-4.09	-2.00	0	0
1379	223	850	4	4	65	-11.70	-4.01	-2.19	0	0
1423	16	850	4	4	65	-10.80	-66.00	-2.00	0	0
1514	239	850	4	5	65	-2.81	-4.05	0.00	0	0
1554	214	850	4	4	65	-12.00	-65.25	-2.00	0	0
1645	238	850	4	4	65	-2.93	-4.03	-0.00	0	0
1686	245	850	4	4	65	-10.65	-66.45	-9.30	0	0
1726	219	850	4	4	65	-10.05	-67.20	-2.51	0	0
1730	0	0	0	0	0	0.00	0.00	0.00	0	0
1771	247	850	4	4	65	-12.15	-4.02	0.00	0	0
1815	21	850	4	4	65	-10.50	-4.00	-0.00	0	0
1905	239	850	4	4	65	-2.79	-4.00	0.00	0	0
1996	238	850	4	4	65	-11.25	-4.02	-2.01	0	0
2036	231	850	4	4	65	-2.29	-4.00	-2.01	0	0
2078	226	850	4	4	65	-11.85	-4.14	-2.01	0	0
2168	240	850	4	4	65	-10.50	-4.03	-0.00	0	0
2208	72	850	5	4	65	-12.30	-66.00	-2.01	0	0
2248	214	850	4	4	65	-2.45	-0.00	0.00	0	0
2289	228	850	4	4	65	-2.07	-0.00	-0.00	0	0
2333	9	850	4	4	65	-11.40	-4.02	-2.01	0	0
2374	210	850	4	4	65	-11.55	-4.02	-2.19	0	0
2414	235	850	4	4	65	-10.95	-4.03	-2.05	0	0
2457	224	850	4	4	65	-2.26	-4.00	-2.01	0	0
2497	211	850	4	4	65	-2.39	-4.05	-2.01	0	0
2538	235	850	4	4	65	-12.00	-4.03	-2.01	0	0
2579	244	850	4	5	65	-9.90	-4.05	-2.22	0	0
2620	228	850	4	4	65	-12.00	-66.15	-2.13	0	0
2624	0	0	0	0	0	0.00	0.00	0.00	0	0
2714	238	850	4	5	65	-11.10	-65.40	-2.00	0	0
2755	224	850	4	4	65	-2.26	-4.03	-2.01	0	0
2794	67	850	4	5	66	-11.40	-66.60	-2.07	0	0
2835	231	850	4	3	64	-11.25	-66.15	-2.00	0	0
2876	214	850	4	4	65	-10.65	-65.55	-2.13	0	0
2916	216	850	4	4	65	-2.00	-4.07	-2.00	0	0
3007	238	850	4	4	65	-10.50	-66.75	-9.60	0	0
3098	236	850	4	4	65	-11.40	-4.04	-2.00	0	0
3138	231	850	4	4	65	-9.90	-4.00	-2.05	0	0
3229	239	850	4	5	66	-2.11	-4.03	-2.06	0	0
3319	238	850	4	4	65	-10.80	-4.03	-2.05	0	0
3359	63	850	4	4	65	-11.10	-66.15	-2.13	0	0
3399	69	850	4	4	65	-11.10	-4.12	-2.22	0	0
3439	68	850	4	4	65	-10.80	-65.40	-2.00	0	0
3478	72	850	4	4	65	-10.95	-66.00	-2.05	0	0
3518	68	850	4	4	65	-10.50	-4.01	-2.00	0	0
3558	84	850	5	5	65	-11.85	-65.70	-2.01	0	0
3599	237	850	4	5	65	-11.25	-65.70	-2.05	0	0
3639	235	850	4	4	65	-10.35	-65.70	-10.05	0	0
3643	0	0	0	0	0	0.00	0.00	0.00	0	0
3684	236	850	4	4	64	-10.65	-4.01	-2.22	0	0
3725	239	850	4	4	65	-10.95	-66.00	-2.55	0	0
3765	81	850	5	4	65	-11.25	-4.03	-2.11	0	0
3805	219	850	4	4	64	-10.80	-66.75	-2.07	0	0
3896	239	850	5	4	65	-11.40	-64.50	-2.51	0	0
3937	241	850	4	4	65	-2.39	-4.03	-2.02	0	0
3977	240	850	4	4	65	-10.65	-65.25	-2.22	0	0
4068	238	850	4	5	65	-11.55	-4.02	-2.01	0	0
4159	237	850	4	4	65	-11.85	-4.14	-2.07	0	0
4199	219	850	4	4	65	-10.80	-66.30	-2.21	0	0
4203	0	0	0	0	0	0.00	0.00	0.00	0	0
4244	219	850	5	5	66	-10.80	-65.70	-2.05	0	0
4284	239	850	4	4	64	-11.10	-66.60	-2.13	0	0
4325	212	850	4	4	64	-11.10	-66.60	-2.13	0	0
4366	223	850	4	4	65	-10.50	-4.15	-2.01	0	0
4406	206	850	4	5	66	-10.35	-65.55	-2.51	0	0
4450	4	850	4	4	65	-2.00	-4.00	-0.00	0	0
